title,agent_id,type,status,location,price,size,bedrooms,bathrooms,year_built,furnishing,features,availability_date,viewings_available,viewings_booked
Modern 2-Bed Apartment,1,apartment,sale,city centre,220000,850,2,1,2020,full,"['balcony', 'parking', 'gym']",2025-01-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-20T16:00:00']
Spacious 4-Bed House,2,house,rent,west bridgford,1500,1600,4,2,2018,none,"['garden', 'garage', 'fireplace']",2025-02-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-06T15:00:00']
Luxury Penthouse Suite,3,penthouse,sale,lenton,550000,1200,3,2,2021,full,"['roof terrace', 'ensuite', 'elevator']",2025-01-25T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-01T13:00:00']
3-Bed Family Home,4,house,sale,beeston,300000,1300,3,2,2015,part,"['garden', 'driveway', 'conservatory']",2025-03-10T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-15T15:00:00']
Studio Flat,5,flat,rent,sneinton,750,400,1,1,2019,full,"['close to transport', 'secure entry']",2025-02-20T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-25T14:00:00']
Detached 5-Bed House,6,house,sale,wollaton,650000,2000,5,3,2012,none,"['double garage', 'large garden', 'office']",2025-04-05T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-04-10T16:00:00']
1-Bed Apartment,7,apartment,rent,the park,900,600,1,1,2020,full,"['balcony', 'modern kitchen']",2025-01-18T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-22T14:00:00']
Renovated 2-Bed Cottage,8,cottage,sale,arnold,250000,900,2,1,1930,part,"['character features', 'garden']",2025-02-15T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-02-20T16:00:00']
3-Bed Townhouse,9,townhouse,sale,mapperley,350000,1100,3,2,2017,full,"['garage', 'balcony', 'open plan']",2025-03-01T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-06T13:00:00']
Modern 4-Bed Bungalow,10,bungalow,sale,carlton,400000,1500,4,2,2022,none,"['garden', 'solar panels', 'driveway']",2025-02-28T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-03-04T12:00:00']
Charming 2-Bed Flat,1,flat,sale,city centre,210000,750,2,1,2016,full,"['balcony', 'secure entry']",2025-01-20T00:00:00,"['2025-01-21T11:00:00', '2025-01-22T15:00:00']",['2025-01-23T14:00:00']
